馬名,金額(Pt),毛色,成長,馬場,脚質,ＳＰ,ＳＴ,根性,瞬発,気性,体質,距離(下限),距離(上限),隠し,三冠,系統,①父,因子,系統,母,系統,②父父,因子,系統,父母,系統,③母父,因子,系統,母母,系統,④父父父,因子,系統,父父母,系統,⑤父母父,因子,系統,父母母,系統,⑥母父父,因子,系統,母父母,系統,⑦母母父,因子,系統,母母母,系統,⑧父父父父,因子,系統,⑨父父母父,因子,系統,⑩父母父父,因子,系統,⑪父母母父,因子,系統,⑫母父父父,因子,系統,⑬母父母父,因子,系統,⑭母母父父,因子,系統,⑮母母母父,因子,系統
ルージュバック,20000,鹿毛,早め,芝,差,A,A+,A+,A,A,A,1800,2400,セリ,,サンデーサイレンス,マンハッタンカフェ,st1,サンデーサイレンス,ジンジャーパンチ,デピュティミニスター,サンデーサイレンス,sp1st1,サンデーサイレンス,サトルチェンジ,リボー,Awesome Again,st1,デピュティミニスター,Nappelon,ボールドルーラー,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Law Society,kon1,リボー,Santa Luciana,オーエンテューダー,Deputy Minister,st1,デピュティミニスター,Primal Force,ブラッシンググルーム,Bold Revenue,#N/A,ボールドルーラー,Sally Go Gray,テディ,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Alleged,kon1,リボー,Luciano,kon1,オーエンテューダー,Vice Regent,sp1,ノーザンダンサー,Blushing Groom,sp2,ブラッシンググルーム,Bold Ruckus,#N/A,ボールドルーラー,Wise Exchange,st1,テディ
レシステンシア,20000,鹿毛,早熟,芝,逃,S,B+,B+,S,A,A,1000,1600,セリ,,サンデーサイレンス,ダイワメジャー,sp1kon1,サンデーサイレンス,マラコスタムブラダ,デインヒル,サンデーサイレンス,sp1st1,サンデーサイレンス,スカーレットブーケ,ノーザンテースト,Lizard Island,#N/A,デインヒル,Mapul Wells,サドラーズウェルズ,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,ノーザンテースト,st1kon1,ノーザンテースト,スカーレットインク,ヒムヤー,Danehill Dancer,#N/A,デインヒル,Add,ボールドルーラー,Poliglote,#N/A,サドラーズウェルズ,Pulma,プリンスローズ,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Northern Dancer,st2kon1,ノーザンダンサー,Crimson Satan,kon1,ヒムヤー,デインヒル,sp2sy1,デインヒル,Spectacular Bid,st1,ボールドルーラー,Sadler's Wells,st2kon1,サドラーズウェルズ,New Dandy,#N/A,プリンスローズ
レッツゴードンキ,20000,栗毛,普通,芝,差,S,B+,B+,S,A,A,1000,1600,セリ,,キングカメハメハ,キングカメハメハ,st1kon1,キングカメハメハ,マルトク,サンデーサイレンス,Kingmambo,st1kon1,ミスタープロスペクター,マンファス,ノーザンダンサー,マーベラスサンデー,sy1,サンデーサイレンス,エリットビーナス,ミスタープロスペクター,Mr. Prospector,sp2sy1,ミスタープロスペクター,Miesque,ヌレイエフ,ラストタイクーン,sp1,ノーザンダンサー,Pilot Bird,トウルビヨン,サンデーサイレンス,sp1st1,サンデーサイレンス,モミジダンサー,ノーザンダンサー,ジェイドロバリー,st1,ミスタープロスペクター,フリースピリット,ロベルト,Raise a Native,sp2sy1,レイズアネイティヴ,Nureyev,sp2kon1,ヌレイエフ,トライマイベスト,sy1,ノーザンダンサー,Blakeney,sy1,トウルビヨン,Halo,sp2sy1,ヘイルトゥリーズン,ヴァイスリーガル,sp1,ノーザンダンサー,Mr. Prospector,sp2sy1,ミスタープロスペクター,リアルシャダイ,st1,ロベルト
ブチコ,20000,白斑毛,早め,ダ,先,A+,A,A,A+,A,A,1400,2000,セリ,,キングカメハメハ,キングカメハメハ,st1kon1,キングカメハメハ,シラユキヒメ,サンデーサイレンス,Kingmambo,st1kon1,ミスタープロスペクター,マンファス,ノーザンダンサー,サンデーサイレンス,sp1st1,サンデーサイレンス,ウェイブウインド,ノーザンダンサー,Mr. Prospector,sp2sy1,ミスタープロスペクター,Miesque,ヌレイエフ,ラストタイクーン,sp1,ノーザンダンサー,Pilot Bird,トウルビヨン,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Topsider,#N/A,ノーザンダンサー,Storm and Sunshine,ナスルーラ,Raise a Native,sp2sy1,レイズアネイティヴ,Nureyev,sp2kon1,ヌレイエフ,トライマイベスト,sy1,ノーザンダンサー,Blakeney,sy1,トウルビヨン,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Northern Dancer,st2kon1,ノーザンダンサー,Star de Naskra,kon1,ナスルーラ
ソウルスターリング,20000,青鹿毛,早め,芝,先,S,B+,B+,S,A,A,1000,1600,セリ,,ガリレオ,Frankel,sp2kon1,ガリレオ,スタセリタ,ブランドフォード,Galileo,sp2kon1,ガリレオ,Kind,デインヒル,Monsun,st2,ブランドフォード,Soignee,ミルリーフ,Sadler's Wells,st2kon1,サドラーズウェルズ,アーバンシー,ミスタープロスペクター,デインヒル,sp2sy1,デインヒル,Rainbow Lake,ブラッシンググルーム,Konigsstuhl,kon1,ブランドフォード,Mosella,ヘロド,Dashing Blade,#N/A,ミルリーフ,Suivez,ノーザンダンサー,Northern Dancer,st2kon1,ノーザンダンサー,Miswaki,sp1,ミスタープロスペクター,Danzig,sp2sy1,ダンチヒ,Rainbow Quest,st2sp1,ブラッシンググルーム,Dschingis Khan,kon1,ブランドフォード,Surumu,kon1,ヘロド,Elegant Air,#N/A,ミルリーフ,Fioravanti,#N/A,ノーザンダンサー
カッティングピース,20000,鹿毛,早め,芝,先,S,B+,B+,S,A,A,1000,1600,セリ,,ニアークティック,ノノアルコ,sp2sy1,ニアークティック,Mortefontaine,マンノウォー,Nearctic,sp1st1,ニアークティック,Seximee,テディ,ポリック,#N/A,マンノウォー,Brabantine,フェアウェイ,Nearctic,sp1st1,ニアークティック,Lady Angela,ハイペリオン,Hasty Road,kon1,テディ,Jambo,テディ,Relic,#N/A,マンノウォー,Polaire,トウルビヨン,Honeyway,#N/A,フェアウェイ,Porthaven,ベンドア,Pharos,sp1sy1,ファラリス,Hyperion,sp2sy1,ハイペリオン,Roman,#N/A,テディ,Crafty Admiral,sy1,テディ,War Relic,#N/A,マンノウォー,Le Volcan,,トウルビヨン,Fairway,sy1,フェアウェイ,Portlaw,#N/A,ベンドア
キュービックスター,20000,鹿毛,早熟,芝,先,A+,A,A,A+,A,A,1400,2000,セリ,,ニジンスキー,Nijinsky,sp2st1,ニジンスキー,Key Partner,リボー,Northern Dancer,st2kon1,ノーザンダンサー,Flaming Page,テディ,Key to the Mint,sp1sy1,リボー,Native Partner,レイズアネイティヴ,Nearctic,sp1st1,ニアークティック,Natalma,ネイティヴダンサー,Bull Page,sp1,テディ,Flaring Top,ファラリス,Graustark,sy1,リボー,Key Bridge,プリンスローズ,Raise a Native,sp2sy1,レイズアネイティヴ,Dinner Partner,トムフール,Nearco,sp2st1,ネアルコ,Native Dancer,sp2sy1,ネイティヴダンサー,Bull Lea,sp1,テディ,Menow,st1,ファラリス,Ribot,st1kon1,リボー,Princequillo,sp1sy1,プリンスローズ,Native Dancer,sp2sy1,ネイティヴダンサー,Tom Fool,st2kon1,トムフール
ポップンコンサート,20000,鹿毛,早め,芝,差,B+,S,S,B+,A,A,2200,2800,セリ,,ノーザンテースト,ノーザンテースト,st1kon1,ノーザンテースト,モデルスポート,トムフール,Northern Dancer,st2kon1,ノーザンダンサー,Lady Angela,ハイペリオン,モデルフール,kon1,トムフール,マジックゴデイス,レッドゴッド,Nearctic,sp1st1,ニアークティック,Natalma,ネイティヴダンサー,Victoria Park,st1,テディ,Lady Angela,ハイペリオン,Tom Fool,st2kon1,トムフール,Model Joy,マンノウォー,Red God,sp2,レッドゴッド,Like Magic,テディ,Nearco,sp2st1,ネアルコ,Native Dancer,sp2sy1,ネイティヴダンサー,Chop Chop,st1,テディ,Hyperion,sp2sy1,ハイペリオン,Menow,st1,ファラリス,War Jeep,#N/A,マンノウォー,Nasrullah,sp2sy1,ナスルーラ,Sun Again,#N/A,テディ
チョウカイキャロル,10000,栗毛,早め,芝,先,B,B+,B+,B,B+,B+,1800,2400,セリ,,ロベルト,ブライアンズタイム,st2sp1,ロベルト,ウィットワタースランド,ミスタープロスペクター,Roberto,st2kon1,ロベルト,Kelley's Day,リボー,Mr. Prospector,sp2sy1,ミスタープロスペクター,Sleek Belle,ハイペリオン,Hail to Reason,sp1,ヘイルトゥリーズン,Bramalea,ナスルーラ,Graustark,sy1,リボー,Golden Trail,テディ,Raise a Native,sp2sy1,レイズアネイティヴ,Gold Digger,ナスルーラ,Vaguely Noble,st1,ハイペリオン,Sleek Dancer,ノーザンダンサー,Turn-to,sp2sy1,ロイヤルチャージャー,Nashua,sp2sy1,ナスルーラ,Ribot,st1kon1,リボー,Hasty Road,kon1,テディ,Native Dancer,sp2sy1,ネイティヴダンサー,Nashua,sp2sy1,ナスルーラ,ヴィエナ,sy1,ハイペリオン,Northern Dancer,st2kon1,ノーザンダンサー
キョウエイマーチ,10000,鹿毛,早め,芝,逃,A,C+,C+,A,B+,B+,1000,1600,セリ,,リファール,ダンシングブレーヴ,st2sp1,リファール,インターシャルマン,ナスルーラ,Lyphard,sp2sy1,リファール,Navajo Princess,サーゲイロード,ブレイヴェストローマン,st1,ナスルーラ,トキノシュリリー,マッチェム,Northern Dancer,st2kon1,ノーザンダンサー,Goofed,フェアウェイ,Drone,st1,サーゲイロード,Olmec,フェアウェイ,Never Bend,sp2sy1,ネヴァーベンド,Roman Song,テディ,スティンティノ,#N/A,マッチェム,トミニシキ,マッチェム,Nearctic,sp1st1,ニアークティック,Court Martial,st1,フェアウェイ,Sir Gaylord,sp2kon1,サーゲイロード,Pago Pago,kon1,フェアウェイ,Nasrullah,sp2sy1,ナスルーラ,Roman,#N/A,テディ,Sheshoon,#N/A,マッチェム,ユアハイネス,#N/A,マッチェム
スマイルトゥモロー,10000,鹿毛,早め,芝,差,B+,B,B,B+,B+,B+,1400,2000,セリ,,リファール,ホワイトマズル,st1,リファール,コクトビューティー,ミルリーフ,ダンシングブレーヴ,st2sp1,リファール,Fair of the Furze,フェアウェイ,サウスアトランティック,#N/A,ミルリーフ,シルクエンゼル,パーソロン,Lyphard,sp2sy1,リファール,Navajo Princess,サーゲイロード,Ela-Mana-Mou,kon1,フェアウェイ,Autocratic,ボールドルーラー,Mill Reef,st2kon1,ミルリーフ,Arkadina,リボー,パーソロン,#N/A,パーソロン,シルクベエンチア,マンノウォー,Northern Dancer,st2kon1,ノーザンダンサー,Drone,st1,サーゲイロード,ピットカーン,st1,フェアウェイ,Tyrant,kon1,ボールドルーラー,Never Bend,sp2sy1,ネヴァーベンド,Ribot,st1kon1,リボー,Milesian,sy1,トウルビヨン,ヴェンチア,sp1,マンノウォー
アグネスフローラ,10000,鹿毛,早め,芝,先,B+,B,B,B+,B+,B+,1400,2000,セリ,,ボールドルーラー,ロイヤルスキー,#N/A,ボールドルーラー,アグネスレディー,ブランドフォード,Raja Baba,#N/A,ボールドルーラー,Coz o'Nijinsky,マンノウォー,リマンド,sy1,ブランドフォード,イコマエイカン,オーエンテューダー,Bold Ruler,sp2sy1,ボールドルーラー,Missy Baba,トウルビヨン,Involvement,#N/A,マンノウォー,Gleam,トウルビヨン,Alcide,#N/A,ブランドフォード,Admonish,フェアウェイ,Sallymount,#N/A,オーエンテューダー,ヘザーランズ,セントサイモン,Nasrullah,sp2sy1,ナスルーラ,My Babu,#N/A,トウルビヨン,Intent,#N/A,マンノウォー,Tournoi,#N/A,トウルビヨン,Alycidon,#N/A,ブランドフォード,Palestine,#N/A,フェアウェイ,Tudor Minstrel,sy1,オーエンテューダー,Tenerani,#N/A,セントサイモン
レッドチリペッパー,10000,芦毛,早め,芝,差,B+,B,B,B+,B+,B+,1400,2000,セリ,,ファピアノ,Unbridled,sp1,ファピアノ,Raise a Carter,カロ,Fappiano,sp1sy1,ファピアノ,Gana Facil,セントサイモン,Dr. Carter,#N/A,カロ,Raise an Heiress,レイズアネイティヴ,Mr. Prospector,sp2sy1,ミスタープロスペクター,Killaloe,ヒムヤー,Le Fabuleux,kon1,セントサイモン,Charedi,マンノウォー,Caro,sp2sy1,カロ,Gentle Touch,ボールドルーラー,Raise a Native,sp2sy1,レイズアネイティヴ,Mellow Marsh,ロイヤルチャージャー,Raise a Native,sp2sy1,レイズアネイティヴ,Dr. Fager,kon1,ヒムヤー,Wild Risk,kon1,セントサイモン,In Reality,sp1,マンノウォー,フォルティノ,sp1sy1,グレイソヴリン,Chieftain,sp1,ボールドルーラー,Native Dancer,sp2sy1,ネイティヴダンサー,Seaneen,#N/A,ロイヤルチャージャー
サンエイサンキュー,10000,芦毛,早め,芝,差,A,C+,C+,A,B+,B+,1000,1600,セリ,,ノーザンテースト,ダイナサンキュー,#N/A,ノーザンテースト,グロリーサクラ,ハンプトン,ノーザンテースト,st1kon1,ノーザンテースト,メルシーダイナ,ボールドルーラー,シーホーク,st1,ハンプトン,ジァガーサクラ,グレイソヴリン,Northern Dancer,st2kon1,ノーザンダンサー,Lady Victoria,テディ,ボールドアンドエイブル,#N/A,ボールドルーラー,スイートターフ,エクリプス,Herbager,kon1,サンインロー,Sea Nymph,ブランドフォード,ラフィンゴラ,#N/A,グレイソヴリン,ヤシマキーパー,ブランドフォード,Nearctic,sp1st1,ニアークティック,Victoria Park,st1,テディ,ボールドラツド,kon1,ボールドルーラー,ガーサント,st1,エクリプス,Vandale,sy1,サンインロー,Free Man,#N/A,ブランドフォード,Grey Sovereign,#N/A,グレイソヴリン,トビサクラ,#N/A,ブランドフォード
ファイトガリバー,10000,鹿毛,早め,芝,追,B+,B,B,B+,B+,B+,1400,2000,セリ,,ノーザンテースト,ダイナガリバー,#N/A,ノーザンテースト,ビューティマリヤ,プリンスリーギフト,ノーザンテースト,st1kon1,ノーザンテースト,ユアースポート,ハイペリオン,トライバルチーフ,st1,プリンスリーギフト,チュウオーマリヤ,プリンスローズ,Northern Dancer,st2kon1,ノーザンダンサー,Lady Victoria,テディ,バウンティアス,st1,ハイペリオン,ファインサラ,ブランドフォード,Princely Gift,sp2kon1,プリンスリーギフト,Mwanza,フェアウェイ,ファラモンド,#N/A,プリンスローズ,アシヤケイコ,ベンドア,Nearctic,sp1st1,ニアークティック,Victoria Park,st1,テディ,Rockefella,#N/A,ハイペリオン,Correlation,#N/A,ブランドフォード,Nasrullah,sp2sy1,ナスルーラ,Petition,st1,フェアウェイ,Sicambre,st1,プリンスローズ,ライジングフレーム,#N/A,ベンドア
ダイナアクトレス,10000,鹿毛,遅め,芝,先,B+,B,B,B+,B+,B+,1400,2000,セリ,,ノーザンテースト,ノーザンテースト,st1kon1,ノーザンテースト,モデルスポート,トムフール,Northern Dancer,st2kon1,ノーザンダンサー,Lady Victoria,テディ,モデルフール,kon1,トムフール,マジックゴデイス,レッドゴッド,Nearctic,sp1st1,ニアークティック,Natalma,ネイティヴダンサー,Victoria Park,st1,テディ,Lady Angela,ハイペリオン,Tom Fool,st2kon1,トムフール,Model Joy,マンノウォー,Red God,sp2,レッドゴッド,Like Magic,テディ,Nearco,sp2st1,ネアルコ,Native Dancer,sp2sy1,ネイティヴダンサー,Chop Chop,st1,テディ,Hyperion,sp2sy1,ハイペリオン,Menow,st1,ファラリス,War Jeep,#N/A,マンノウォー,Nasrullah,sp2sy1,ナスルーラ,Sun Again,#N/A,テディ
ファビラスラフイン,10000,芦毛,早め,芝,先,B+,B,B,B+,B+,B+,1400,2000,セリ,,ノーザンダンサー,Fabulous Dancer,#N/A,ノーザンダンサー,Mercalle,カロ,Northern Dancer,st2kon1,ノーザンダンサー,Last of the Line,ブランドフォード,Kaldoun,#N/A,カロ,Eole des Mers,セントサイモン,Nearctic,sp1st1,ニアークティック,Natalma,ネイティヴダンサー,The Axe,kon1,ブランドフォード,Bryonia,フェアウェイ,Caro,sp2sy1,カロ,Katana,ブランドフォード,Carvin,sp1,セントサイモン,Deesse des Mers,テディ,Nearco,sp2st1,ネアルコ,Native Dancer,sp2sy1,ネイティヴダンサー,Mahmoud,kon1,ブランドフォード,Honeyway,#N/A,フェアウェイ,フォルティノ,sp1sy1,グレイソヴリン,Le Haar,#N/A,ブランドフォード,マリーノ,st1,セントサイモン,Neptune,#N/A,テディ
マックスビューティ,10000,鹿毛,早め,芝,差,A,C+,C+,A,B+,B+,1000,1600,セリ,,ナスルーラ,ブレイヴェストローマン,st1,ナスルーラ,フジタカレディ,プリンスリーギフト,Never Bend,sp2sy1,ネヴァーベンド,Roman Song,テディ,バーバー,#N/A,プリンスリーギフト,フジタカジョウ,パーソロン,Nasrullah,sp2sy1,ナスルーラ,Lalun,トウルビヨン,Roman,#N/A,テディ,Quiz Song,テディ,Princely Gift,sp2kon1,プリンスリーギフト,Desert Girl,ハンプトン,パーソロン,#N/A,パーソロン,オートトップ,トウルビヨン,Nearco,sp2st1,ネアルコ,Djeddah,#N/A,トウルビヨン,Sir Gallahad,sp1,テディ,Sun Again,#N/A,テディ,Nasrullah,sp2sy1,ナスルーラ,Straight Deal,#N/A,ハンプトン,Milesian,sy1,トウルビヨン,ガルカドール,#N/A,トウルビヨン
ビーチサンバ,10000,黒鹿毛,早め,芝,先,B+,B,B,B+,B+,B+,1400,2000,セリ,,デピュティミニスター,クロフネ,st1,デピュティミニスター,フサイチエアデール,サンデーサイレンス,フレンチデピュティ,st1,デピュティミニスター,ブルーアヴェニュー,フェアウェイ,サンデーサイレンス,sp1st1,サンデーサイレンス,ラスティックベル,ミスタープロスペクター,Deputy Minister,st1,デピュティミニスター,Mitterand,プリンスローズ,Classic Go Go,kon1,フェアウェイ,Eliza Blue,ニアークティック,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Mr. Prospector,sp2sy1,ミスタープロスペクター,Ragtime Girl,ネアルコ,Vice Regent,sp1,ノーザンダンサー,Hold Your Peace,sp1,プリンスローズ,Pago Pago,kon1,フェアウェイ,Icecapade,sp1,ニアークティック,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Raise a Native,sp2sy1,レイズアネイティヴ,Francis S.,st1,ネアルコ
ホエールキャプチャ,10000,芦毛,普通,芝,先,B+,B,B,B+,B+,B+,1400,2000,セリ,,デピュティミニスター,クロフネ,st1,デピュティミニスター,グローバルピース,サンデーサイレンス,フレンチデピュティ,st1,デピュティミニスター,ブルーアヴェニュー,フェアウェイ,サンデーサイレンス,sp1st1,サンデーサイレンス,エミネントガール,ブラッシンググルーム,Deputy Minister,st1,デピュティミニスター,Mitterand,プリンスローズ,Classic Go Go,kon1,フェアウェイ,Eliza Blue,ニアークティック,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Nashwan,sp1sy1,ブラッシンググルーム,タレンティドガール,ブランドフォード,Vice Regent,sp1,ノーザンダンサー,Hold Your Peace,sp1,プリンスローズ,Pago Pago,kon1,フェアウェイ,Icecapade,sp1,ニアークティック,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Blushing Groom,sp2,ブラッシンググルーム,リマンド,sy1,ブランドフォード
シーイズトウショウ,10000,鹿毛,早め,芝,先,B+,B,B,B+,B+,B+,1400,2000,セリ,,テスコボーイ,サクラバクシンオー,sp2sy1,テスコボーイ,ジェーントウショウ,トウルビヨン,サクラユタカオー,sp1sy1,テスコボーイ,サクラハゴロモ,ノーザンテースト,トウショウフリート,#N/A,トウルビヨン,コーニストウショウ,トウルビヨン,テスコボーイ,sp1,テスコボーイ,アンジェリカ,ナスルーラ,ノーザンテースト,st1kon1,ノーザンテースト,クリアアンバー,トウルビヨン,トウショウペガサス,#N/A,トウルビヨン,リバーストウショウ,ニジンスキー,ダンディルート,#N/A,トウルビヨン,ローズトウショウ,オーエンテューダー,Princely Gift,sp2kon1,プリンスリーギフト,ネヴァービート,sp1,ナスルーラ,Northern Dancer,st2kon1,ノーザンダンサー,Ambiopoise,kon1,トウルビヨン,ダンディルート,#N/A,トウルビヨン,ニゾン,#N/A,ニジンスキー,Luthier,sp2sy1,トウルビヨン,テューダーペリオッド,#N/A,オーエンテューダー
ノームコア,10000,芦毛,早め,芝,先,B,B+,B+,B,B+,B+,1800,2400,セリ,,デインヒル,ハービンジャー,st1,デインヒル,クロノロジスト,デピュティミニスター,Dansili,sp1st1,デインヒル,Penang Pearl,ネイティヴダンサー,クロフネ,st1,デピュティミニスター,インディスユニゾン,サンデーサイレンス,Danehill,sp2sy1,ダンチヒ,Hasili,ニジンスキー,Bering,st1,ネイティヴダンサー,Guapa,ノーザンダンサー,フレンチデピュティ,st1,デピュティミニスター,ブルーアヴェニュー,フェアウェイ,サンデーサイレンス,sp1st1,サンデーサイレンス,ラスティックベル,ミスタープロスペクター,Danzig,sp2sy1,ダンチヒ,Kahyasi,sy1,ニジンスキー,Arctic Tern,kon1,ネイティヴダンサー,Shareef Dancer,sp1,ノーザンダンサー,Deputy Minister,st1,デピュティミニスター,Classic Go Go,kon1,フェアウェイ,Halo,sp2sy1,ヘイルトゥリーズン,Mr. Prospector,sp2sy1,ミスタープロスペクター
モズカッチャン,10000,黒鹿毛,遅め,芝,先,B,B+,B+,B,B+,B+,1800,2400,セリ,,デインヒル,ハービンジャー,st1,デインヒル,サイトディーラー,キングカメハメハ,Dansili,sp1st1,デインヒル,Penang Pearl,ネイティヴダンサー,キングカメハメハ,st1kon1,キングカメハメハ,ベストブート,ストームキャット,Danehill,sp2sy1,ダンチヒ,Hasili,ニジンスキー,Bering,st1,ネイティヴダンサー,Guapa,ノーザンダンサー,Kingmambo,st1kon1,ミスタープロスペクター,マンファス,ノーザンダンサー,Storm Boot,#N/A,ストームキャット,Bright Tiara,ダンチヒ,Danzig,sp2sy1,ダンチヒ,Kahyasi,sy1,ニジンスキー,Arctic Tern,kon1,ネイティヴダンサー,Shareef Dancer,sp1,ノーザンダンサー,Mr. Prospector,sp2sy1,ミスタープロスペクター,ラストタイクーン,sp1,ノーザンダンサー,Storm Cat,sp2sy1,ストームキャット,Chief's Crown,sp1,ダンチヒ
ヴィブロス,10000,青毛,早め,芝,差,C+,A,A,C+,B+,B+,2200,2800,セリ,,ディープインパクト,ディープインパクト,sp2sy1,ディープインパクト,ハルーワスウィート,ミスタープロスペクター,サンデーサイレンス,sp1st1,サンデーサイレンス,ウインドインハーヘア,リファール,Machiavellian,sp1st1,ミスタープロスペクター,ハルーワソング,ヌレイエフ,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Alzao,sp1,リファール,Burghclere,ブランドフォード,Mr. Prospector,sp2sy1,ミスタープロスペクター,Coup de Folie,ヘイルトゥリーズン,Nureyev,sp2kon1,ヌレイエフ,Morn of Song,ブラッシンググルーム,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Lyphard,sp2sy1,リファール,Busted,sp1,ブランドフォード,Raise a Native,sp2sy1,レイズアネイティヴ,Halo,sp2sy1,ヘイルトゥリーズン,Northern Dancer,st2kon1,ノーザンダンサー,Blushing Groom,sp2,ブラッシンググルーム
シンハライト,10000,黒鹿毛,早め,芝,差,B+,B,B,B+,B+,B+,1400,2000,セリ,,ディープインパクト,ディープインパクト,sp2sy1,ディープインパクト,シンハリーズ,サドラーズウェルズ,サンデーサイレンス,sp1st1,サンデーサイレンス,ウインドインハーヘア,リファール,シングスピール,kon2,サドラーズウェルズ,Baize,ハイペリオン,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Alzao,sp1,リファール,Burghclere,ブランドフォード,In the Wings,sp1,サドラーズウェルズ,Glorious Song,ヘイルトゥリーズン,Efisio,#N/A,ハイペリオン,Bayonne,マンノウォー,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Lyphard,sp2sy1,リファール,Busted,sp1,ブランドフォード,Sadler's Wells,st2kon1,サドラーズウェルズ,Halo,sp2sy1,ヘイルトゥリーズン,Formidable,#N/A,ハイペリオン,Bay Express,#N/A,マンノウォー
マリアライト,10000,黒鹿毛,遅め,芝,差,C,A+,A+,C,B+,B+,3000,3600,セリ,,ディープインパクト,ディープインパクト,sp2sy1,ディープインパクト,クリソプレーズ,ミスタープロスペクター,サンデーサイレンス,sp1st1,サンデーサイレンス,ウインドインハーヘア,リファール,エルコンドルパサー,sp1st1,ミスタープロスペクター,キャサリーンパー,ナスルーラ,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Alzao,sp1,リファール,Burghclere,ブランドフォード,Kingmambo,st1kon1,ミスタープロスペクター,サドラーズギャル,サドラーズウェルズ,Riverman,sp1kon1,ナスルーラ,Regal Exception,リボー,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Lyphard,sp2sy1,リファール,Busted,sp1,ブランドフォード,Mr. Prospector,sp2sy1,ミスタープロスペクター,Sadler's Wells,st2kon1,サドラーズウェルズ,Never Bend,sp2sy1,ネヴァーベンド,Ribot,st1kon1,リボー
マルセリーナ,10000,鹿毛,早め,芝,差,B,B+,B+,B,B+,B+,1800,2400,セリ,,ディープインパクト,ディープインパクト,sp2sy1,ディープインパクト,マルバイユ,ノーザンダンサー,サンデーサイレンス,sp1st1,サンデーサイレンス,ウインドインハーヘア,リファール,Marju,st1,ノーザンダンサー,Hambye,サーゲイロード,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Alzao,sp1,リファール,Burghclere,ブランドフォード,ラストタイクーン,sp1,ノーザンダンサー,Flame of Tara,プリンスローズ,Distant Relative,#N/A,サーゲイロード,Paglietta Gener,ハイペリオン,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Lyphard,sp2sy1,リファール,Busted,sp1,ブランドフォード,トライマイベスト,sy1,ノーザンダンサー,アーテイアス,st1,プリンスローズ,Habitat,sp2,サーゲイロード,Final Straw,#N/A,ハイペリオン
ミッキークイーン,10000,鹿毛,早め,芝,差,B,B+,B+,B,B+,B+,1800,2400,セリ,,ディープインパクト,ディープインパクト,sp2sy1,ディープインパクト,ミュージカルウェイ,ヌレイエフ,サンデーサイレンス,sp1st1,サンデーサイレンス,ウインドインハーヘア,リファール,Gold Away,#N/A,ヌレイエフ,Mulika,ミスタープロスペクター,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Alzao,sp1,リファール,Burghclere,ブランドフォード,Goldneyev,#N/A,ヌレイエフ,Blushing Away,ブラッシンググルーム,Procida,#N/A,ミスタープロスペクター,Gazelia,ニアークティック,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Lyphard,sp2sy1,リファール,Busted,sp1,ブランドフォード,Nureyev,sp2kon1,ヌレイエフ,Blushing Groom,sp2,ブラッシンググルーム,Mr. Prospector,sp2sy1,ミスタープロスペクター,Icecapade,sp1,ニアークティック
リアアメリア,10000,黒鹿毛,早熟,芝,先,B+,B,B,B+,B+,B+,1400,2000,セリ,,ディープインパクト,ディープインパクト,sp2sy1,ディープインパクト,リアアントニア,ファピアノ,サンデーサイレンス,sp1st1,サンデーサイレンス,ウインドインハーヘア,リファール,Rockport Harbor,#N/A,ファピアノ,Beer Baroness,ゴーンウエスト,Halo,sp2sy1,ヘイルトゥリーズン,Wishing Well,テディ,Alzao,sp1,リファール,Burghclere,ブランドフォード,Unbridled's Song,sp1kon1,ファピアノ,Regal Miss Copelan,トムフール,Mr. Greeley,sp1,ゴーンウエスト,Lavish Numbers,ダンチヒ,Hail to Reason,sp1,ヘイルトゥリーズン,Understanding,sp1,テディ,Lyphard,sp2sy1,リファール,Busted,sp1,ブランドフォード,Unbridled,sp1,ファピアノ,Copelan,#N/A,トムフール,Gone West,sp1kon1,ゴーンウエスト,Polish Numbers,kon1,ダンチヒ
